vehicle_reg_No,MYT_TIMESTAMP,longitude,latitude
WB2225C,2023-09-12T21:28:22,101.706009,2.75222
WB2225C,2023-09-12T21:28:52,101.706329,2.75225
WB2225C,2023-09-12T21:29:22,101.706329,2.75228
WB2225C,2023-09-12T21:29:52,101.706329,2.7523
WB2225C,2023-09-12T21:30:22,101.706169,2.75232
WB2225C,2023-09-12T21:30:52,101.706329,2.75223
WB2225C,2023-09-12T21:31:22,101.707497,2.74997
WB2225C,2023-09-12T21:31:52,101.70916,2.74735
WB2225C,2023-09-12T21:32:22,101.710167,2.74627
WB2225C,2023-09-12T21:32:52,101.71151,2.74698
WB2225C,2023-09-12T21:33:22,101.712662,2.74805
WB2225C,2023-09-12T21:33:52,101.71283,2.74863
WB2225C,2023-09-12T21:34:22,101.712662,2.74825
WB2225C,2023-09-12T21:34:52,101.712502,2.74818
WB2225C,2023-09-12T21:35:22,101.712502,2.74818
WB2225C,2023-09-12T21:35:52,101.712341,2.74753
WB2225C,2023-09-12T21:36:28,101.710823,2.7466
WB2225C,2023-09-12T21:36:52,101.710999,2.746
WB2225C,2023-09-12T21:37:22,101.709671,2.74558
WB2225C,2023-09-12T21:37:52,101.708328,2.74785
WB2225C,2023-09-12T21:38:22,101.706673,2.75043
WB2225C,2023-09-12T21:39:22,101.706009,2.7522
WB2225C,2023-09-12T21:40:52,101.706009,2.75228
WB2225C,2023-09-12T21:48:52,101.705658,2.7522
WB2225C,2023-09-12T21:49:22,101.706009,2.75222
WB2225C,2023-09-12T21:49:52,101.706009,2.75218
WB2225C,2023-09-12T21:50:22,101.706169,2.75212
WB2225C,2023-09-12T21:50:52,101.706169,2.75208
WB2225C,2023-09-12T21:51:22,101.706329,2.75197
WB2225C,2023-09-12T21:52:28,101.709991,2.74633
WB2225C,2023-09-12T21:52:52,101.711166,2.74682
WB2225C,2023-09-12T21:54:52,101.712502,2.74753
WB2225C,2023-09-12T21:55:22,101.71151,2.74703
WB2225C,2023-09-12T21:55:52,101.710999,2.74622
WB2225C,2023-09-12T21:56:22,101.709831,2.7453
WB2225C,2023-09-12T21:56:52,101.708839,2.74727
WB2225C,2023-09-12T22:04:22,101.70649,2.75227
WB2225C,2023-09-12T22:04:52,101.706329,2.75233
WB2225C,2023-09-12T22:05:22,101.706329,2.75187
WB2225C,2023-09-12T22:06:22,101.709671,2.74667
WB2225C,2023-09-12T22:06:52,101.710823,2.74668
WB2225C,2023-09-12T22:08:52,101.712341,2.74735
WB2225C,2023-09-12T22:09:22,101.712502,2.74757
WB2225C,2023-09-12T22:09:52,101.711166,2.74685
WB2225C,2023-09-12T22:10:22,101.710823,2.74588
WB2225C,2023-09-12T22:10:52,101.709511,2.74568
WB2225C,2023-09-12T22:11:22,101.708168,2.74822
WB2225C,2023-09-12T22:11:52,101.706009,2.75125
WB2225C,2023-09-12T22:15:22,101.706009,2.75222
WB2225C,2023-09-12T22:15:52,101.706169,2.75225
WB2225C,2023-09-12T22:16:22,101.706009,2.75225
WB2225C,2023-09-12T22:16:52,101.706169,2.75222
WB2225C,2023-09-12T22:17:22,101.707001,2.75062
WB2225C,2023-09-12T22:17:52,101.708504,2.74828
WB2225C,2023-09-12T22:18:22,101.709831,2.74638
WB2225C,2023-09-12T22:18:52,101.710823,2.7464
WB2225C,2023-09-12T22:19:22,101.711998,2.7466
WB2225C,2023-09-12T22:19:52,101.712997,2.74713
WB2225C,2023-09-12T22:20:22,101.71183,2.74655
WB2225C,2023-09-12T22:20:52,101.710503,2.74552
WB2225C,2023-09-12T22:21:22,101.709343,2.7464
WB2225C,2023-09-12T22:21:52,101.707497,2.74902
WB2225C,2023-09-12T22:22:22,101.705658,2.75145
WB2225C,2023-09-12T22:26:52,101.705498,2.7516
WB2225C,2023-09-12T22:28:22,101.705833,2.75205
WB2225C,2023-09-12T22:28:52,101.706009,2.75193
WB2225C,2023-09-12T22:29:22,101.706009,2.75187
WB2225C,2023-09-12T22:29:52,101.706169,2.75188
WB2225C,2023-09-12T22:30:22,101.706009,2.7519
WB2225C,2023-09-12T22:30:52,101.706169,2.75188
WB2225C,2023-09-12T22:31:22,101.706009,2.75195
WB2225C,2023-09-12T22:31:52,101.706169,2.75197
WB2225C,2023-09-12T22:32:22,101.706169,2.75192
WB2225C,2023-09-12T22:32:52,101.706169,2.75188
WB2225C,2023-09-12T22:33:22,101.706169,2.75188
WB2225C,2023-09-12T22:33:52,101.706329,2.75187
WB2225C,2023-09-12T22:34:22,101.706329,2.75187
WB2225C,2023-09-12T22:34:52,101.706329,2.75195
WB2225C,2023-09-12T22:35:22,101.706329,2.7522
WB2225C,2023-09-12T22:39:22,101.708656,2.74808
WB2225C,2023-09-12T22:39:52,101.709991,2.74627
WB2225C,2023-09-12T22:40:22,101.711166,2.74678
WB2225C,2023-09-12T22:40:52,101.712502,2.74765
WB2225C,2023-09-12T22:41:22,101.712662,2.7487
WB2225C,2023-09-12T22:41:52,101.712502,2.7482
WB2225C,2023-09-12T22:42:22,101.712662,2.74757
WB2225C,2023-09-12T22:42:52,101.712502,2.74838
WB2225C,2023-09-12T22:43:22,101.712662,2.7485
WB2225C,2023-09-12T22:43:52,101.712662,2.74853
WB2225C,2023-09-12T22:44:22,101.712662,2.74853
WB2225C,2023-09-12T22:44:52,101.712662,2.74852
WB2225C,2023-09-12T22:45:22,101.712662,2.74818
WB2225C,2023-09-12T22:45:52,101.711998,2.74735
WB2225C,2023-09-12T22:46:22,101.711166,2.74623
WB2225C,2023-09-12T22:46:52,101.709831,2.74525
WB2225C,2023-09-12T22:47:22,101.709,2.747
WB2225C,2023-09-12T22:48:22,101.706009,2.75127
WB2225C,2023-09-12T22:48:52,101.705658,2.75198
WB2225C,2023-09-12T22:49:22,101.706009,2.75218
WB2225C,2023-09-12T22:49:52,101.706009,2.75222
WB2225C,2023-09-12T22:50:22,101.706009,2.75223
WB2225C,2023-09-12T22:50:52,101.706009,2.75225
WB2225C,2023-09-12T22:51:22,101.706169,2.75218
WB2225C,2023-09-12T22:51:52,101.705322,2.75187
WB2225C,2023-09-12T22:52:22,101.705498,2.75193
WB2225C,2023-09-12T22:52:52,101.705658,2.75178
WB2225C,2023-09-12T22:53:22,101.705658,2.75173
WB2225C,2023-09-12T22:53:52,101.705322,2.75242
WB2225C,2023-09-12T23:03:22,101.705833,2.7521
WB2225C,2023-09-12T23:03:52,101.706009,2.752
WB2225C,2023-09-12T23:07:22,101.707336,2.75015
WB2225C,2023-09-12T23:07:52,101.709343,2.74718
WB2225C,2023-09-12T23:08:22,101.710663,2.74647
WB2225C,2023-09-12T23:08:52,101.712502,2.7477
WB2225C,2023-09-12T23:09:22,101.712662,2.74878
WB2225C,2023-09-12T23:09:52,101.712341,2.7485
WB2225C,2023-09-12T23:10:22,101.712502,2.7484
WB2225C,2023-09-12T23:10:52,101.712502,2.7476
WB2225C,2023-09-12T23:11:23,101.711327,2.74682
WB2225C,2023-09-12T23:11:52,101.710503,2.74557
WB2225C,2023-09-12T23:12:22,101.709343,2.7464
WB2225C,2023-09-12T23:12:52,101.707832,2.74868
WB2225C,2023-09-12T23:13:22,101.706009,2.75113
WB2225C,2023-09-12T23:24:22,101.705833,2.75215
WB2225C,2023-09-12T23:24:52,101.706009,2.75217
WB2225C,2023-09-12T23:25:22,101.706009,2.75217
WB2225C,2023-09-12T23:25:52,101.706009,2.7522
WB2225C,2023-09-12T23:26:22,101.706009,2.75218
WB2225C,2023-09-12T23:26:52,101.706009,2.75218
WB2225C,2023-09-12T23:27:22,101.706009,2.75225
WB2225C,2023-09-12T23:27:52,101.706009,2.75233
