vehicle_reg_No,longitude,latitude
WB654L,101.712662,2.74795
WB654L,101.712662,2.74865
WB654L,101.712662,2.74847
WB654L,101.712662,2.7483
WB654L,101.712662,2.7485
WB654L,101.712662,2.74857
WB654L,101.712662,2.74825
WB654L,101.710663,2.74643
WB654L,101.710663,2.74647
WB654L,101.710663,2.74645
WB654L,101.705322,2.75192
WB654L,101.718002,2.73382
WB654L,101.708008,2.74855
WB654L,101.708008,2.74883
WB654L,101.706009,2.75212
WB654L,101.706009,2.75233
WB654L,101.706009,2.7523
WB654L,101.706009,2.7523
WB654L,101.706009,2.75193
WB654L,101.706009,2.75197
WB654L,101.706009,2.75203
WB654L,101.706009,2.75205
WB654L,101.706009,2.75213
WB654L,101.706009,2.75193
WB654L,101.706009,2.75193
WB654L,101.706009,2.75198
WB654L,101.706009,2.75198
WB654L,101.706009,2.75132
WB654L,101.706009,2.75203
WB654L,101.706009,2.75205
WB654L,101.706009,2.75123
WB654L,101.706009,2.75222
WB654L,101.706009,2.75203
WB654L,101.706009,2.75212
WB654L,101.706009,2.75213
WB654L,101.706009,2.7519
WB654L,101.706009,2.75117
WB654L,101.706009,2.75232
WB654L,101.706009,2.75233
WB654L,101.706009,2.75235
WB654L,101.710823,2.74648
WB654L,101.710823,2.74637
WB654L,101.710823,2.74658
WB654L,101.710823,2.74645
WB654L,101.710823,2.74657
WB654L,101.710823,2.74667
WB654L,101.710823,2.74655
WB654L,101.710167,2.74525
WB654L,101.710167,2.74517
WB654L,101.708168,2.74862
WB654L,101.71151,2.74705
WB654L,101.71151,2.74703
WB654L,101.711166,2.74677
WB654L,101.711166,2.7468
WB654L,101.711166,2.74712
WB654L,101.706169,2.75205
WB654L,101.706169,2.75225
WB654L,101.706169,2.75222
WB654L,101.706169,2.75227
WB654L,101.706169,2.7523
WB654L,101.706169,2.75205
WB654L,101.706169,2.75235
WB654L,101.706169,2.75235
WB654L,101.706169,2.75235
WB654L,101.706169,2.75235
WB654L,101.706169,2.75233
WB654L,101.706169,2.75237
WB654L,101.706169,2.75227
WB654L,101.706169,2.75227
WB654L,101.706169,2.75237
WB654L,101.706169,2.75238
WB654L,101.706169,2.75112
WB654L,101.706169,2.75227
WB654L,101.706169,2.75228
WB654L,101.706169,2.75208
WB654L,101.706169,2.75203
WB654L,101.706169,2.75197
WB654L,101.706169,2.75232
WB654L,101.706169,2.7523
WB654L,101.706169,2.75235
WB654L,101.706169,2.75235
WB654L,101.706169,2.75237
WB654L,101.709511,2.74685
WB654L,101.709511,2.7459
WB654L,101.709511,2.7467
WB654L,101.711327,2.74685
WB654L,101.711327,2.74687
WB654L,101.711327,2.74353
WB654L,101.708328,2.74845
WB654L,101.708328,2.74847
WB654L,101.708328,2.7485
WB654L,101.716667,2.73582
WB654L,101.71167,2.74322
WB654L,101.71167,2.74723
WB654L,101.71167,2.74713
WB654L,101.71167,2.74787
WB654L,101.706673,2.75023
WB654L,101.706673,2.7512
WB654L,101.706673,2.7512
WB654L,101.706329,2.75205
WB654L,101.706329,2.75167
WB654L,101.706329,2.75192
WB654L,101.706329,2.7522
WB654L,101.706329,2.75213
WB654L,101.706329,2.7518
WB654L,101.706329,2.75103
WB654L,101.706329,2.75172
WB654L,101.706329,2.7523
WB654L,101.706329,2.75097
WB654L,101.706329,2.7523
WB654L,101.706329,2.75227
WB654L,101.706329,2.7523
WB654L,101.706329,2.75238
WB654L,101.706329,2.75238
WB654L,101.709671,2.74647
WB654L,101.709671,2.74667
WB654L,101.709671,2.7465
WB654L,101.709671,2.74537
WB654L,101.709671,2.74543
WB654L,101.70649,2.75157
WB654L,101.70649,2.7522
WB654L,101.70649,2.75197
WB654L,101.70649,2.75207
WB654L,101.70649,2.7521
WB654L,101.70649,2.75142
WB654L,101.70649,2.75225
WB654L,101.70649,2.75235
WB654L,101.70649,2.7523
WB654L,101.70649,2.75225
WB654L,101.707672,2.74937
WB654L,101.707672,2.74882
WB654L,101.71283,2.7486
WB654L,101.71283,2.7486
WB654L,101.71283,2.74862
WB654L,101.71283,2.7485
WB654L,101.71283,2.74838
WB654L,101.71283,2.74855
WB654L,101.71283,2.7486
WB654L,101.71283,2.74858
WB654L,101.71283,2.74862
WB654L,101.71283,2.74865
WB654L,101.71283,2.74865
WB654L,101.71283,2.74858
WB654L,101.71283,2.74858
WB654L,101.71283,2.74858
WB654L,101.71283,2.74857
WB654L,101.71283,2.74858
WB654L,101.71283,2.74858
